,Industry,Year,Contribution_to_Gdp,Growth_of_GDP,Wage_bracket_0_to_9999,Wage_bracket_10000_to_14999,Wage_bracket_15000_to_19999,Wage_bracket_20000_to_24999,Wage_bracket_25000_to_29999,Wage_bracket_30000_to_49999,Wage_bracket_50000_to_99999,Wage_bracket_100000_plus,TOTAL
52,Financial And Insurance Activities,2013,6.6,8.2,,,357,10879,3062,8374,33896,10461,67029
53,Real Estate Activities,2013,7.9,4.1,166,445,64,404,861,977,791,117,3825
54,"Professional, Scientific And Technical Activities",2013,1.0,6.7,2856,7596,1077,6919,15908,15559,13507,1997,65419
55,Administrative And Support Service Activities,2013,1.2,1.2,48,175,454,960,1506,971,589,146,4849
56,Public Administration And Defence; Compulsory Social Security,2013,4.4,2.8,1450,1039,6888,34837,34067,84846,50419,4284,217830
57,Education,2013,5.3,6.3,223,4796,46740,89016,131362,78326,38645,11741,400849
58,Human Health And Social Work Activities,2013,1.6,7.7,,1383,13152,25047,36218,22798,10874,3305,112777
59,"Arts, Entertainment And Recreation",2013,0.1,3.0,,82,779,1481,2133,1347,645,197,6664
60,Other Service Activities,2013,0.6,7.3,,204,1910,5492,8525,7522,5595,508,29756
61,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,2013,0.5,1.5,,303,802,18336,24929,33764,31555,,109689
